Logging console output to: logs\lunar_lander4_ddqn_20260309_002500.log
| Episode    1 | Duration:  131 steps | Reward:    -117.88 | Crashed      | Total Steps:    131 |
| Episode    2 | Duration:   81 steps | Reward:    -120.60 | Crashed      | Total Steps:    212 |
| Episode    3 | Duration:   70 steps | Reward:     -98.61 | Stabilizing  | Total Steps:    282 |
| Episode    4 | Duration:   59 steps | Reward:    -116.23 | Crashed      | Total Steps:    341 |
| Episode    5 | Duration:   73 steps | Reward:     -53.88 | Stabilizing  | Total Steps:    414 |
| Episode    6 | Duration:   64 steps | Reward:    -230.80 | Crashed      | Total Steps:    478 |
| Episode    7 | Duration:  105 steps | Reward:    -167.32 | Crashed      | Total Steps:    583 |
| Episode    8 | Duration:   84 steps | Reward:    -215.07 | Crashed      | Total Steps:    667 |
| Episode    9 | Duration:   63 steps | Reward:    -114.76 | Crashed      | Total Steps:    730 |
| Episode   10 | Duration:   93 steps | Reward:    -111.90 | Crashed      | Total Steps:    823 |
| Episode   11 | Duration:   73 steps | Reward:    -101.99 | Crashed      | Total Steps:    896 |
| Episode   12 | Duration:   93 steps | Reward:    -114.07 | Crashed      | Total Steps:    989 |
| Episode   13 | Duration:   73 steps | Reward:    -123.76 | Crashed      | Total Steps:   1062 |
| Episode   14 | Duration:   73 steps | Reward:    -137.22 | Crashed      | Total Steps:   1135 |
| Episode   15 | Duration:   64 steps | Reward:    -161.68 | Crashed      | Total Steps:   1199 |
| Episode   16 | Duration:   98 steps | Reward:    -154.31 | Crashed      | Total Steps:   1297 |
| Episode   17 | Duration:   54 steps | Reward:    -127.26 | Crashed      | Total Steps:   1351 |
| Episode   18 | Duration:   79 steps | Reward:     -98.53 | Stabilizing  | Total Steps:   1430 |
| Episode   19 | Duration:   77 steps | Reward:    -134.95 | Crashed      | Total Steps:   1507 |
| Episode   20 | Duration:   75 steps | Reward:    -112.06 | Crashed      | Total Steps:   1582 |
| Episode   21 | Duration:   61 steps | Reward:    -104.30 | Crashed      | Total Steps:   1643 |
| Episode   22 | Duration:   72 steps | Reward:    -125.34 | Crashed      | Total Steps:   1715 |
| Episode   23 | Duration:   95 steps | Reward:    -155.01 | Crashed      | Total Steps:   1810 |
| Episode   24 | Duration:   61 steps | Reward:    -177.67 | Crashed      | Total Steps:   1871 |
| Episode   25 | Duration:   58 steps | Reward:     -96.10 | Stabilizing  | Total Steps:   1929 |
| Episode   26 | Duration:   66 steps | Reward:    -113.86 | Crashed      | Total Steps:   1995 |
