Logging console output to: logs\lunar_lander4_ddqn_20260309_003031.log
| Episode    1 | Duration:  111 steps | Reward:    -142.20 | Crashed      | Total Steps:    111 |
| Episode    2 | Duration:   87 steps | Reward:     -95.95 | Stabilizing  | Total Steps:    198 |
| Episode    3 | Duration:  102 steps | Reward:     -65.25 | Stabilizing  | Total Steps:    300 |
| Episode    4 | Duration:   78 steps | Reward:    -175.98 | Crashed      | Total Steps:    378 |
| Episode    5 | Duration:   62 steps | Reward:    -149.76 | Crashed      | Total Steps:    440 |
| Episode    6 | Duration:   68 steps | Reward:    -152.75 | Crashed      | Total Steps:    508 |
| Episode    7 | Duration:   69 steps | Reward:     -62.97 | Stabilizing  | Total Steps:    577 |
| Episode    8 | Duration:   60 steps | Reward:    -101.30 | Crashed      | Total Steps:    637 |
| Episode    9 | Duration:   74 steps | Reward:    -143.79 | Crashed      | Total Steps:    711 |
| Episode   10 | Duration:   81 steps | Reward:    -317.17 | Crashed      | Total Steps:    792 |
| Episode   11 | Duration:   68 steps | Reward:    -191.64 | Crashed      | Total Steps:    860 |
| Episode   12 | Duration:   72 steps | Reward:    -111.86 | Crashed      | Total Steps:    932 |
| Episode   13 | Duration:   65 steps | Reward:    -106.07 | Crashed      | Total Steps:    997 |
| Episode   14 | Duration:   92 steps | Reward:    -243.72 | Crashed      | Total Steps:   1089 |
| Episode   15 | Duration:   82 steps | Reward:    -135.60 | Crashed      | Total Steps:   1171 |
| Episode   16 | Duration:   96 steps | Reward:    -142.80 | Crashed      | Total Steps:   1267 |
| Episode   17 | Duration:   90 steps | Reward:    -116.67 | Crashed      | Total Steps:   1357 |
| Episode   18 | Duration:   81 steps | Reward:    -103.65 | Crashed      | Total Steps:   1438 |
| Episode   19 | Duration:   70 steps | Reward:    -172.99 | Crashed      | Total Steps:   1508 |
| Episode   20 | Duration:   70 steps | Reward:    -131.99 | Crashed      | Total Steps:   1578 |
| Episode   21 | Duration:   82 steps | Reward:    -113.06 | Crashed      | Total Steps:   1660 |
| Episode   22 | Duration:   50 steps | Reward:    -135.74 | Crashed      | Total Steps:   1710 |
| Episode   23 | Duration:   78 steps | Reward:    -217.02 | Crashed      | Total Steps:   1788 |
| Episode   24 | Duration:   61 steps | Reward:     -94.38 | Stabilizing  | Total Steps:   1849 |
| Episode   25 | Duration:   56 steps | Reward:    -166.89 | Crashed      | Total Steps:   1905 |
| Episode   26 | Duration:   64 steps | Reward:    -113.09 | Crashed      | Total Steps:   1969 |
| Episode   27 | Duration:   54 steps | Reward:     -98.40 | Stabilizing  | Total Steps:   2023 |
| Episode   28 | Duration:   75 steps | Reward:    -117.83 | Crashed      | Total Steps:   2098 |
| Episode   29 | Duration:   77 steps | Reward:    -151.86 | Crashed      | Total Steps:   2175 |
| Episode   30 | Duration:   90 steps | Reward:    -262.68 | Crashed      | Total Steps:   2265 |
| Episode   31 | Duration:   68 steps | Reward:    -117.37 | Crashed      | Total Steps:   2333 |
| Episode   32 | Duration:   72 steps | Reward:    -216.76 | Crashed      | Total Steps:   2405 |
| Episode   33 | Duration:   64 steps | Reward:    -139.62 | Crashed      | Total Steps:   2469 |
| Episode   34 | Duration:   58 steps | Reward:     -97.23 | Stabilizing  | Total Steps:   2527 |
| Episode   35 | Duration:   73 steps | Reward:    -131.84 | Crashed      | Total Steps:   2600 |
| Episode   36 | Duration:   87 steps | Reward:    -120.37 | Crashed      | Total Steps:   2687 |
| Episode   37 | Duration:   88 steps | Reward:     -54.88 | Stabilizing  | Total Steps:   2775 |
| Episode   38 | Duration:   64 steps | Reward:    -103.27 | Crashed      | Total Steps:   2839 |
| Episode   39 | Duration:   87 steps | Reward:    -103.80 | Crashed      | Total Steps:   2926 |
| Episode   40 | Duration:   63 steps | Reward:    -132.33 | Crashed      | Total Steps:   2989 |
| Episode   41 | Duration:   80 steps | Reward:    -125.33 | Crashed      | Total Steps:   3069 |
| Episode   42 | Duration:   76 steps | Reward:    -147.69 | Crashed      | Total Steps:   3145 |
| Episode   43 | Duration:   82 steps | Reward:    -117.32 | Crashed      | Total Steps:   3227 |
| Episode   44 | Duration:   59 steps | Reward:    -100.77 | Crashed      | Total Steps:   3286 |
| Episode   45 | Duration:   72 steps | Reward:    -142.63 | Crashed      | Total Steps:   3358 |
| Episode   46 | Duration:   56 steps | Reward:    -120.62 | Crashed      | Total Steps:   3414 |
| Episode   47 | Duration:   65 steps | Reward:    -125.15 | Crashed      | Total Steps:   3479 |
| Episode   48 | Duration:   88 steps | Reward:    -162.54 | Crashed      | Total Steps:   3567 |
