Logging console output to: logs\lunar_lander4_ddqn_20260402_202610.log
| Episode    1 | Duration:   81 steps | Reward:    -115.61 | Crashed      | Total Steps:     81 |
| Episode    2 | Duration:   99 steps | Reward:    -234.82 | Crashed      | Total Steps:    180 |
| Episode    3 | Duration:   74 steps | Reward:    -176.18 | Crashed      | Total Steps:    254 |
| Episode    4 | Duration:   63 steps | Reward:    -104.12 | Crashed      | Total Steps:    317 |
| Episode    5 | Duration:   67 steps | Reward:    -243.20 | Crashed      | Total Steps:    384 |
| Episode    6 | Duration:  105 steps | Reward:    -425.50 | Crashed      | Total Steps:    489 |
| Episode    7 | Duration:   75 steps | Reward:    -227.78 | Crashed      | Total Steps:    564 |
| Episode    8 | Duration:   58 steps | Reward:    -146.43 | Crashed      | Total Steps:    622 |
| Episode    9 | Duration:   98 steps | Reward:    -116.10 | Crashed      | Total Steps:    720 |
| Episode   10 | Duration:   68 steps | Reward:     -59.37 | Stabilizing  | Total Steps:    788 |
| Episode   11 | Duration:  105 steps | Reward:    -425.27 | Crashed      | Total Steps:    893 |
| Episode   12 | Duration:  106 steps | Reward:    -185.14 | Crashed      | Total Steps:    999 |
| Episode   13 | Duration:   61 steps | Reward:     -75.02 | Stabilizing  | Total Steps:   1060 |
| Episode   14 | Duration:   87 steps | Reward:    -134.82 | Crashed      | Total Steps:   1147 |
| Episode   15 | Duration:   77 steps | Reward:    -128.79 | Crashed      | Total Steps:   1224 |
| Episode   16 | Duration:   61 steps | Reward:    -109.28 | Crashed      | Total Steps:   1285 |
| Episode   17 | Duration:  101 steps | Reward:    -167.52 | Crashed      | Total Steps:   1386 |
| Episode   18 | Duration:   93 steps | Reward:      26.14 | Improving    | Total Steps:   1479 |
| Episode   19 | Duration:   69 steps | Reward:    -118.17 | Crashed      | Total Steps:   1548 |
| Episode   20 | Duration:   88 steps | Reward:     -93.98 | Stabilizing  | Total Steps:   1636 |
| Episode   21 | Duration:   65 steps | Reward:     -86.35 | Stabilizing  | Total Steps:   1701 |
| Episode   22 | Duration:   79 steps | Reward:    -105.08 | Crashed      | Total Steps:   1780 |
| Episode   23 | Duration:   66 steps | Reward:    -111.87 | Crashed      | Total Steps:   1846 |
| Episode   24 | Duration:   57 steps | Reward:     -97.43 | Stabilizing  | Total Steps:   1903 |
| Episode   25 | Duration:   76 steps | Reward:    -124.64 | Crashed      | Total Steps:   1979 |
| Episode   26 | Duration:   88 steps | Reward:     -94.89 | Stabilizing  | Total Steps:   2067 |
| Episode   27 | Duration:   56 steps | Reward:     -90.09 | Stabilizing  | Total Steps:   2123 |
| Episode   28 | Duration:   63 steps | Reward:    -146.79 | Crashed      | Total Steps:   2186 |
| Episode   29 | Duration:   72 steps | Reward:    -135.85 | Crashed      | Total Steps:   2258 |
| Episode   30 | Duration:   55 steps | Reward:     -53.34 | Stabilizing  | Total Steps:   2313 |
| Episode   31 | Duration:   79 steps | Reward:    -132.99 | Crashed      | Total Steps:   2392 |
| Episode   32 | Duration:   62 steps | Reward:    -114.63 | Crashed      | Total Steps:   2454 |
| Episode   33 | Duration:   66 steps | Reward:    -132.51 | Crashed      | Total Steps:   2520 |
| Episode   34 | Duration:   81 steps | Reward:     -71.04 | Stabilizing  | Total Steps:   2601 |
| Episode   35 | Duration:   65 steps | Reward:     -78.72 | Stabilizing  | Total Steps:   2666 |
| Episode   36 | Duration:   69 steps | Reward:    -120.18 | Crashed      | Total Steps:   2735 |
| Episode   37 | Duration:   82 steps | Reward:    -143.93 | Crashed      | Total Steps:   2817 |
| Episode   38 | Duration:   58 steps | Reward:     -67.76 | Stabilizing  | Total Steps:   2875 |
| Episode   39 | Duration:   65 steps | Reward:    -149.51 | Crashed      | Total Steps:   2940 |
| Episode   40 | Duration:   64 steps | Reward:     -84.17 | Stabilizing  | Total Steps:   3004 |
| Episode   41 | Duration:   71 steps | Reward:    -106.92 | Crashed      | Total Steps:   3075 |
| Episode   42 | Duration:   65 steps | Reward:    -147.64 | Crashed      | Total Steps:   3140 |
| Episode   43 | Duration:   73 steps | Reward:    -145.99 | Crashed      | Total Steps:   3213 |
| Episode   44 | Duration:   60 steps | Reward:     -75.68 | Stabilizing  | Total Steps:   3273 |
| Episode   45 | Duration:   64 steps | Reward:     -53.77 | Stabilizing  | Total Steps:   3337 |
| Episode   46 | Duration:   65 steps | Reward:     -96.28 | Stabilizing  | Total Steps:   3402 |
| Episode   47 | Duration:   65 steps | Reward:     -57.22 | Stabilizing  | Total Steps:   3467 |
| Episode   48 | Duration:   65 steps | Reward:    -133.21 | Crashed      | Total Steps:   3532 |
| Episode   49 | Duration:   80 steps | Reward:    -217.34 | Crashed      | Total Steps:   3612 |
| Episode   50 | Duration:   65 steps | Reward:     -45.64 | Stabilizing  | Total Steps:   3677 |
| Episode   51 | Duration:   62 steps | Reward:    -146.03 | Crashed      | Total Steps:   3739 |
| Episode   52 | Duration:   57 steps | Reward:     -60.15 | Stabilizing  | Total Steps:   3796 |
| Episode   53 | Duration:   90 steps | Reward:     -90.51 | Stabilizing  | Total Steps:   3886 |
| Episode   54 | Duration:   86 steps | Reward:    -177.18 | Crashed      | Total Steps:   3972 |
