episode,duration,reward,state_name,total_steps
1,81,-115.61,Crashed,81
2,99,-234.82,Crashed,180
3,74,-176.18,Crashed,254
4,63,-104.12,Crashed,317
5,67,-243.20,Crashed,384
6,105,-425.50,Crashed,489
7,75,-227.78,Crashed,564
8,58,-146.43,Crashed,622
9,98,-116.10,Crashed,720
10,68,-59.37,Stabilizing,788
11,105,-425.27,Crashed,893
12,106,-185.14,Crashed,999
13,61,-75.02,Stabilizing,1060
14,87,-134.82,Crashed,1147
15,77,-128.79,Crashed,1224
16,61,-109.28,Crashed,1285
17,101,-167.52,Crashed,1386
18,93,26.14,Improving,1479
19,69,-118.17,Crashed,1548
20,88,-93.98,Stabilizing,1636
21,65,-86.35,Stabilizing,1701
22,79,-105.08,Crashed,1780
23,66,-111.87,Crashed,1846
24,57,-97.43,Stabilizing,1903
25,76,-124.64,Crashed,1979
26,88,-94.89,Stabilizing,2067
27,56,-90.09,Stabilizing,2123
28,63,-146.79,Crashed,2186
29,72,-135.85,Crashed,2258
30,55,-53.34,Stabilizing,2313
31,79,-132.99,Crashed,2392
32,62,-114.63,Crashed,2454
33,66,-132.51,Crashed,2520
34,81,-71.04,Stabilizing,2601
35,65,-78.72,Stabilizing,2666
36,69,-120.18,Crashed,2735
37,82,-143.93,Crashed,2817
38,58,-67.76,Stabilizing,2875
39,65,-149.51,Crashed,2940
40,64,-84.17,Stabilizing,3004
41,71,-106.92,Crashed,3075
42,65,-147.64,Crashed,3140
43,73,-145.99,Crashed,3213
44,60,-75.68,Stabilizing,3273
45,64,-53.77,Stabilizing,3337
46,65,-96.28,Stabilizing,3402
47,65,-57.22,Stabilizing,3467
48,65,-133.21,Crashed,3532
49,80,-217.34,Crashed,3612
50,65,-45.64,Stabilizing,3677
51,62,-146.03,Crashed,3739
52,57,-60.15,Stabilizing,3796
53,90,-90.51,Stabilizing,3886
54,86,-177.18,Crashed,3972
55,88,-161.46,Crashed,4060
56,82,-150.26,Crashed,4142
57,61,-71.29,Stabilizing,4203
58,60,-67.53,Stabilizing,4263
59,89,-228.23,Crashed,4352
60,58,-77.00,Stabilizing,4410
61,71,-84.91,Stabilizing,4481
62,85,-120.52,Crashed,4566
63,92,-90.31,Stabilizing,4658
64,65,-93.64,Stabilizing,4723
65,86,-247.17,Crashed,4809
66,61,-114.66,Crashed,4870
67,68,-70.55,Stabilizing,4938
68,54,-74.08,Stabilizing,4992
69,91,-39.92,Stabilizing,5083
70,61,-46.70,Stabilizing,5144
71,64,-119.47,Crashed,5208
72,67,-70.39,Stabilizing,5275
73,77,-63.00,Stabilizing,5352
74,82,-204.07,Crashed,5434
75,65,-107.51,Crashed,5499
76,58,-21.99,Stabilizing,5557
77,91,-66.32,Stabilizing,5648
78,85,-89.92,Stabilizing,5733
79,64,-116.26,Crashed,5797
80,68,-133.37,Crashed,5865
81,79,-151.09,Crashed,5944
82,77,-209.57,Crashed,6021
83,92,-60.34,Stabilizing,6113
84,80,-151.98,Crashed,6193
85,56,-32.91,Stabilizing,6249
86,86,-140.62,Crashed,6335
87,66,-206.11,Crashed,6401
88,60,-151.40,Crashed,6461
89,68,-125.22,Crashed,6529
90,74,-150.13,Crashed,6603
91,58,-29.33,Stabilizing,6661
92,88,-51.51,Stabilizing,6749
93,58,-83.31,Stabilizing,6807
94,56,-52.23,Stabilizing,6863
95,65,-56.49,Stabilizing,6928
96,82,-78.16,Stabilizing,7010
97,88,-134.54,Crashed,7098
98,72,-109.10,Crashed,7170
99,68,-50.04,Stabilizing,7238
100,58,-108.25,Crashed,7296
