icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,squawk,spi,category,timestamp
e49406,GLO1230 ,Brazil,,1724000497,,,,False,194.72,239.17,0.0,,,False,0,1724000498
4b1816,SWR438A ,Switzerland,1724000497.0,1724000498,0.6359,51.2466,5196.84,False,232.81,96.09,11.7,5440.68,2034,False,0,1724000498
4b1818,EDW398E ,Switzerland,1724000497.0,1724000498,8.5536,46.8906,5539.74,False,222.26,174.42,10.08,5768.34,3024,False,0,1724000498
ac96b8,AAL2419 ,United States,1724000484.0,1724000484,-69.3014,19.1272,5547.36,False,201.23,129.92,-10.4,6621.78,,False,0,1724000498
aa3cbe,N759PA  ,United States,1724000473.0,1724000473,-111.8532,41.7842,,True,5.14,213.75,,,,False,0,1724000498
a3a555,N334GV  ,United States,1724000495.0,1724000497,-84.658,29.9577,9989.82,False,188.94,130.8,7.15,10622.28,,False,0,1724000498
aa9321,UAL914  ,United States,1724000491.0,1724000497,-64.9566,47.3663,10972.8,False,226.27,241.63,0.0,11460.48,6012,False,0,1724000498
abd9d9,SWA2751 ,United States,1724000497.0,1724000497,-80.4338,25.7811,647.7,False,93.21,87.47,-6.5,685.8,,False,0,1724000498
801640,AIC802  ,India,1724000498.0,1724000498,77.2276,28.1179,3657.6,False,139.38,9.78,0.0,3810.0,,False,0,1724000498
a3b87f,DAL2575 ,United States,1724000493.0,1724000497,-93.2104,44.8857,,True,0.0,210.94,,,,False,0,1724000498
c07d20,JZA650  ,Canada,1724000451.0,1724000497,-122.5813,45.5892,,True,96.12,157.0,-0.33,,,False,0,1724000498
aaf633,UAL2372 ,United States,1724000497.0,1724000497,-74.1177,40.9417,1249.68,False,94.19,145.01,0.0,1249.68,1754,False,0,1724000498
a305ff,N294T   ,United States,1724000497.0,1724000497,-73.5189,40.5874,121.92,False,20.85,74.25,0.0,99.06,1200,False,0,1724000498
440da9,C17     ,Austria,1724000359.0,1724000366,15.4638,47.0799,,True,0.0,84.38,,,,False,0,1724000498
a305fd,SKW3730 ,United States,1724000497.0,1724000497,-77.7439,42.2179,10363.2,False,222.09,282.17,0.0,10713.72,1046,False,0,1724000498
e49405,GLO7681 ,Brazil,1724000497.0,1724000497,-47.3415,-23.2924,6461.76,False,194.45,47.57,-3.58,6903.72,,False,0,1724000498
4b1803,SWR48X  ,Switzerland,1724000497.0,1724000497,-0.16,51.1794,11582.4,False,216.76,299.42,0.0,11963.4,5764,False,0,1724000498
aa56d8,UAL755  ,United States,1724000497.0,1724000497,-111.192,34.0466,5341.62,False,164.13,226.65,-10.4,5699.76,,False,0,1724000498
a34230,EJA309  ,United States,1724000496.0,1724000497,-86.3558,39.6731,1173.48,False,117.38,219.13,13.98,1181.1,,False,0,1724000498
4b1804,SWR2PD  ,Switzerland,1724000497.0,1724000498,17.731,41.0419,11277.6,False,255.47,101.85,0.0,11826.24,0466,False,0,1724000498
a2cbbf,N28BD   ,United States,1724000498.0,1724000498,-88.6838,38.4914,7620.0,False,127.83,20.99,0.0,7970.52,,False,0,1724000498
a34e6a,ENY3771 ,United States,1724000497.0,1724000497,-91.4165,33.3741,11277.6,False,231.07,84.38,-0.33,12001.5,0760,False,0,1724000498
aa56d4,UAL2269 ,United States,1724000498.0,1724000498,-97.1713,37.9854,10058.4,False,241.37,91.59,0.0,10698.48,,False,0,1724000498
a9f082,N74DF   ,United States,1724000497.0,1724000498,-122.1795,47.5123,6126.48,False,63.87,2.77,1.63,457.2,,False,0,1724000498
4b1808,SWR8GF  ,Switzerland,1724000497.0,1724000497,0.7122,50.8984,6073.14,False,179.71,314.54,-9.75,6355.08,5724,False,0,1724000498
a0e279,N156WM  ,United States,1724000296.0,1724000298,-80.2611,25.9984,106.68,False,43.23,91.36,-2.6,83.82,,False,0,1724000498
ae0195,SPAR568 ,United States,1724000498.0,1724000498,-85.4479,39.7784,10050.78,False,228.33,67.48,-0.33,10439.4,1176,False,0,1724000498
ab63b2,KAP388  ,United States,1724000498.0,1724000498,-70.7594,42.158,906.78,False,70.12,165.56,0.0,914.4,,False,0,1724000498
4b1800,SWR1KL  ,Switzerland,1724000497.0,1724000497,8.5703,47.4566,,True,2.06,8.44,,,3002,False,0,1724000498
4b1802,SWR7WA  ,Switzerland,1724000497.0,1724000497,8.5559,47.4576,419.1,False,65.68,275.84,-0.33,480.06,1000,False,0,1724000498
ac4963,DAL1447 ,United States,1724000491.0,1724000491,-112.0122,33.4335,,True,1.03,16.88,,,,False,0,1724000498
a3b88e,AAL2374 ,United States,1724000497.0,1724000497,-91.8015,37.5099,7924.8,False,240.85,223.96,0.0,8389.62,5712,False,0,1724000498
4952ca,TAP1361 ,Portugal,1724000497.0,1724000497,-4.1223,47.0201,11887.2,False,245.08,202.85,-0.33,12397.74,5211,False,0,1724000498
a162fc,N189K   ,United States,1724000498.0,1724000498,-83.466,36.5211,11277.6,False,215.24,147.79,0.65,11780.52,,False,0,1724000498
aa9f3f,SWA1059 ,United States,1724000391.0,1724000391,-118.3589,34.2113,,True,1.54,337.5,,,,False,0,1724000498
4952cc,TAP15CV ,Portugal,1724000498.0,1724000498,-10.2563,37.5745,7688.58,False,214.92,38.49,-10.08,8336.28,6226,False,0,1724000498
80163f,,India,1724000490.0,1724000490,77.5401,26.7972,9707.88,False,233.7,346.12,0.0,10454.64,,False,0,1724000498
4952cd,TAP1364 ,Portugal,1724000498.0,1724000498,-4.9447,46.7694,10370.82,False,219.79,36.15,0.0,10881.36,7451,False,0,1724000498
a36898,DAL2766 ,United States,1724000497.0,1724000498,-122.0408,39.0838,10972.8,False,255.95,354.23,0.0,11369.04,,False,0,1724000498
acf9ab,EJA935  ,United States,1724000342.0,1724000342,-95.6619,29.6794,274.32,False,62.46,175.28,-3.25,289.56,,False,0,1724000498
a928bc,N69DV   ,United States,1723999926.0,1724000287,-75.7201,40.1366,304.8,False,59.7,38.35,-0.33,228.6,,False,0,1724000498
ace6b4,N930LS  ,United States,1724000482.0,1724000483,-92.6877,29.2548,11193.78,False,257.84,275.38,-9.75,11894.82,6643,False,0,1724000498
a3a575,JBU1485 ,United States,1724000414.0,1724000414,-80.1633,40.4844,586.74,False,74.62,271.58,-3.58,541.02,3560,False,0,1724000498
80160b,IGO843  ,India,1724000497.0,1724000497,85.0309,23.2684,10660.38,False,233.34,70.29,-0.65,11414.76,0244,False,0,1724000498
c047e9,CGBGA   ,Canada,1724000498.0,1724000498,-60.1423,45.8757,3048.0,False,58.15,271.52,0.0,3185.16,,False,0,1724000498
a9f03a,N74AJ   ,United States,1724000489.0,1724000489,-121.4892,37.9941,-15.24,False,12.23,284.62,-7.48,-7.62,,False,0,1724000498
a23565,TRF41   ,United States,1724000497.0,1724000497,-96.3671,33.0245,586.74,False,82.19,124.29,1.3,601.98,,False,0,1724000498
ace6b9,N930LX  ,United States,1724000296.0,1724000301,-90.9801,33.5469,495.3,False,56.08,180.53,-4.55,495.3,7731,False,0,1724000498
abacb6,SCX8263 ,United States,1724000497.0,1724000498,-99.4863,38.5867,11277.6,False,243.41,95.46,0.0,12001.5,,False,0,1724000498
408100,GHITD   ,United Kingdom,1724000497.0,1724000497,-2.0141,52.0009,693.42,False,74.04,112.47,-2.6,777.24,1177,False,0,1724000498
0d0c18,GMT780  ,Mexico,1724000497.0,1724000497,-86.9186,20.9575,1645.92,False,127.56,303.82,-5.85,1752.6,,False,0,1724000498
ac96be,AAL2496 ,United States,1724000497.0,1724000498,-105.3607,37.1284,10363.2,False,232.75,301.44,0.0,11071.86,,False,0,1724000498
801621,IGO1007 ,India,1724000498.0,1724000498,102.1607,2.1471,11285.22,False,229.1,118.87,0.0,12054.84,,False,0,1724000498
80160f,IGO6381 ,India,1724000498.0,1724000498,79.2869,15.5254,10363.2,False,238.34,346.77,0.0,11010.9,,False,0,1724000498
511159,JAF40H  ,Estonia,1724000497.0,1724000497,-3.165,43.9502,10363.2,False,228.12,29.74,0.0,10927.08,1000,False,0,1724000498
acdfd3,N929CH  ,United States,1724000494.0,1724000494,-103.3081,40.5904,3619.5,False,112.98,25.63,-5.53,3863.34,,False,0,1724000498
a21b44,MXY534  ,United States,1724000497.0,1724000498,-106.2941,35.3159,10972.8,False,233.44,264.94,0.0,11719.56,0524,False,0,1724000498
aaa6dd,AAL731  ,United States,1724000294.0,1724000301,-80.9386,35.2535,419.1,False,74.77,176.05,-3.25,388.62,0767,False,0,1724000498
